trade_row_loc,original_price,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trend_reward,profit_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
1911,10097.93,10097.93,10109.019650504599,0.0014861252566274084,0,0,0,0,buy,True,0,0,-1,0,-42.330590481686706,8774.606449163466,2955.930541976839,258.8300332468438,0.0,0.8689510076979605,8774.606449163466,258695.68046884798,12104.942435557277
1912,10112.65,10112.65,10109.019650504599,0.0015824336883058115,0,0,0,0,hold,False,0,0,0.0014577245039328953,0,-42.32913275718277,8787.39740799678,2974.8167193991303,258.8300332468438,0.0,0.8689510076979605,8787.39740799678,258695.68046884798,12104.942435557277
1913,10114.12,10114.12,10109.019650504599,0.0017594943641588505,0,0,0,0,hold,False,0,0,0.00014536249153314885,0,-42.32898739469124,8788.674765978098,2976.702771084647,258.8300332468438,0.0,0.8689510076979605,8788.674765978098,258695.68046884798,12104.942435557277
1914,10154.94,10154.94,10109.019650504599,0.0015948139263597706,0,0,0,0,hold,False,0,0,0.004035941831815209,0,-42.32495145285942,8824.145346112327,3029.0759886375,258.8300332468438,0.0,0.8689510076979605,8824.145346112327,258695.68046884798,12104.942435557277
1915,10191.52,10191.52,10109.019650504599,0.001400468055279128,0,0,0,0,hold,False,0,0,0.003602187703718667,0,-42.3213492651557,8855.93157397392,3076.009165954585,258.8300332468438,0.0,0.8689510076979605,8855.93157397392,258695.68046884798,12104.942435557277
1916,10161.22,10161.22,10109.019650504599,0.0017438092585066874,0,0,0,0,hold,False,0,0,-0.002973059955728014,0,-42.32432232511143,8829.60235844067,3037.1334067225544,258.8300332468438,0.0,0.8689510076979605,8829.60235844067,258695.68046884798,12104.942435557277
1917,10169.99,10169.99,10109.019650504599,0.0018222841462114403,0,0,0,0,hold,False,0,0,0.0008630853381779004,0,-42.32345923977326,8837.223058778181,3048.385565417766,258.8300332468438,0.0,0.8689510076979605,8837.223058778181,258695.68046884798,12104.942435557277
1918,10129.11,10129.11,10109.019650504599,0.0014095313483565837,0,0,0,0,hold,False,0,0,-0.004019669635859913,0,-42.327478909409116,8801.70034158349,2995.935366163463,258.8300332468438,0.0,0.8689510076979605,8801.70034158349,258695.68046884798,12104.942435557277
1919,10158.54,10158.54,10109.019650504599,0.0015067952753273985,0,0,0,0,hold,False,0,0,0.0029054872540627535,0,-42.324573422155055,8827.27356974004,3033.694890724475,258.8300332468438,0.0,0.8689510076979605,8827.27356974004,258695.68046884798,12104.942435557277
1920,10099.88,10099.88,10109.019650504599,0.0014660866489487273,0,0,0,0,hold,False,0,0,-0.005774451840520545,0,-42.33034787399558,8776.300903628477,2958.432447273948,258.8300332468438,0.0,0.8689510076979605,8776.300903628477,258695.68046884798,12104.942435557277
1921,10108.59,10108.59,10109.019650504599,0.0018443077113896754,0,0,0,0,hold,False,0,0,0.0008623864838000084,0,-42.329485487511775,8783.869466905528,2969.607624267712,258.8300332468438,0.0,0.8689510076979605,8783.869466905528,258695.68046884798,12104.942435557277
1922,10084.2,10084.2,10109.019650504599,0.0017992102102461322,0,0,0,0,hold,False,0,0,-0.0024127994111939246,0,-42.33189828692297,8762.675751827774,2938.314562628464,258.8300332468438,0.0,0.8689510076979605,8762.675751827774,258695.68046884798,12104.942435557277
1923,10090.07,10090.07,10109.019650504599,0.0017668788461712513,0,0,0,0,hold,False,0,0,0.0005820987287042707,0,-42.331316188194265,8767.77649424296,2945.845939086945,258.8300332468438,0.0,0.8689510076979605,8767.77649424296,258695.68046884798,12104.942435557277
1924,10134.81,10134.81,10109.019650504599,0.001365511586105153,0,0,0,0,buy,True,0,0,-1,0,-43.331316188194265,8806.653362327366,3003.248627801171,258.8300332468438,0.0,0.8689510076979605,8806.653362327366,258695.68046884798,12104.942435557277
1925,10166.11,10166.11,10109.019650504599,0.0010638656353547102,0,0,0,0,hold,False,0,0,0.003088365741439812,0,-43.328227822452824,8833.851528868314,3043.407415390695,258.8300332468438,0.0,0.8689510076979605,8833.851528868314,258695.68046884798,12104.942435557277
1926,10133.93,10133.93,10109.019650504599,0.001768039381354558,0,0,0,0,hold,False,0,0,-0.0031654192213147153,0,-43.33139324167414,8805.888685440594,3002.1195628465775,258.8300332468438,0.0,0.8689510076979605,8805.888685440594,258695.68046884798,12104.942435557277
1927,10215.74,10215.74,10109.019650504599,0.0011197710208747608,0,0,0,0,hold,False,0,0,0.008072879919241539,0,-43.3233203617549,8876.977567380363,3107.08411277306,258.8300332468438,0.0,0.8689510076979605,8876.977567380363,258695.68046884798,12104.942435557277
1928,10206.15,10206.15,10109.019650504599,0.0011197419752572097,0,0,0,0,hold,False,0,0,-0.0009387474622494458,0,-43.32425910921715,8868.64432721654,3094.7798708247046,258.8300332468438,0.0,0.8689510076979605,8868.64432721654,258695.68046884798,12104.942435557277
1929,10152.5,10152.5,10109.019650504599,0.0015103909589385003,0,0,0,0,hold,False,0,0,-0.0052566344801909404,0,-43.32951574369734,8822.025105653544,3025.945399445218,258.8300332468438,0.0,0.8689510076979605,8822.025105653544,258695.68046884798,12104.942435557277
1930,10118.97,10118.97,10109.019650504599,0.0010131080786220687,0,0,0,0,hold,False,0,0,-0.0033026348190101085,0,-43.33281837851635,8792.88917836543,2982.925458618485,258.8300332468438,0.0,0.8689510076979605,8792.88917836543,258695.68046884798,12104.942435557277
1931,10117.03,10117.03,10109.019650504599,0.0011443213862101847,0,0,0,0,hold,False,0,0,-0.00019171911765710105,0,-43.33301009763401,8791.203413410498,2980.4363836049506,258.8300332468438,0.0,0.8689510076979605,8791.203413410498,258695.68046884798,12104.942435557277
