#{"t_start": 1652859671.6446843, "env_id": null}
r,l,t
-0.305473,721,1026.902521
-3.73705,721,1030.871213
0.155055,721,1032.624172
-3.95777,721,1036.485574
0.256001,721,1038.198328
-4.917443,721,1039.760096
-3.861822,721,1044.097778
0.163343,721,1045.816099
-0.842521,721,1047.507223
-5.503151,721,1051.655432
-4.919716,721,1053.254346
-3.372204,721,1054.981426
-0.642945,721,1059.276681
0.901035,721,1060.942279
-1.731206,721,1062.775796
-1.135655,721,1066.825024
-26.074817,721,1068.444487
-0.141969,721,1070.040329
-0.019882,721,1074.012432
-5.570823,721,1075.626918
-1.911889,721,1079.811009
-0.683789,721,1081.529534
-4.273744,721,1083.104501
0.440706,721,1087.636157
0.736787,721,1089.263596
0.349228,721,1090.986703
-0.157881,721,1095.180357
-0.715649,721,1096.767917
0.28109,721,1098.352374
-1.056804,721,1102.498576
0.204377,721,1104.154284
-0.007384,721,1105.730335
-0.258677,721,1110.328651
0.247418,721,1111.975083
-2.214239,721,1113.574576
-0.615154,721,1117.573645
-1.029219,721,1119.20876
0.379321,721,1120.78013
-2.603514,721,1125.129608
0.114552,721,1126.807012
-1.964207,721,1131.006392
-0.457072,721,1132.835785
-0.818014,721,1134.541854
-1.55358,721,1138.603591
-3.890824,721,1140.415596
-1.264756,721,1148.281927
-0.820706,721,1152.600414
-5.819849,721,1154.206198
-0.458716,721,1155.885575
0.082662,721,1159.778791
-0.866379,721,1161.396272
-0.171559,721,1163.035144
-0.224059,721,1166.678008
-1.726146,721,1168.305251
-0.503634,721,1169.934416
-2.467316,721,1174.1075
-1.108846,721,1175.722537
-0.446821,721,1179.246917
-0.013261,721,1180.914189
0.020194,721,1182.520182
-9.695388,721,1187.330955
-3.680476,721,1189.388927
-1.86028,721,1191.027135
-1.057885,721,1195.64272
0.15791,721,1197.674434
-0.276102,721,1199.374693
0.164914,721,1203.494399
0.007044,721,1205.158973
0.114471,721,1206.808324
-0.194867,721,1211.004516
0.10936,721,1212.780752
-6.187926,721,1214.435064
-1.745033,721,1218.314608
-1.059231,721,1219.88845
0.010652,721,1224.239078
-0.053193,721,1225.994897
-0.106953,721,1227.624074
-1.006978,721,1231.782223
-8.85598,721,1233.530963
-0.01618,721,1235.49465
-8.945842,721,1239.887063
-14.234911,721,1241.598929
-0.265454,721,1243.30614
-0.955387,721,1247.990393
-0.578415,721,1249.722667
-0.079918,721,1251.353555
0.371052,721,1255.623704
0.168951,721,1257.458441
0.166922,721,1259.045049
-0.074212,721,1263.525359
-0.829575,721,1265.116461
0.284785,721,1266.720384
-0.441942,721,1270.478952
0.416675,721,1272.079429
0.012963,721,1276.082548
-0.14196,721,1277.680452
0.125696,721,1279.327015
0.04865,721,1283.393396
-8.380236,721,1285.309346
-0.137062,721,1286.929066
-0.43906,721,1291.404522
0.253302,721,1293.070642
-0.404633,721,1294.752918
-0.301268,721,1298.918331
-0.117631,721,1300.570865
-0.051971,721,1302.235059
-0.896662,721,1306.510133
-0.543026,721,1308.160557
-0.174834,721,1309.889828
-0.133912,721,1314.457793
-0.146641,721,1316.072026
-0.494653,721,1320.110211
-0.615983,721,1321.696198
-3.096993,721,1323.384933
-0.709715,721,1333.831073
-1.432841,721,1335.774039
0.002408,721,1337.372798
-0.308631,721,1342.120305
-0.753471,721,1343.832165
0.341983,721,1345.471481
-0.31122,721,1349.809257
-0.155423,721,1351.495722
0.204309,721,1353.141707
-0.129077,721,1357.304821
0.193655,721,1358.88303
-0.110616,721,1360.469564
0.206112,721,1364.328339
-0.071068,721,1365.95998
-1.375551,721,1369.867927
0.01242,721,1371.453696
-0.057558,721,1373.260856
0.116572,721,1378.280562
-0.113288,721,1380.224543
0.239463,721,1382.086348
-0.360412,721,1386.569934
-0.419564,721,1388.22451
-0.177029,721,1389.785658
-0.251368,721,1393.797961
-0.41482,721,1395.438839
-0.122434,721,1397.081774
-0.164631,721,1400.933764
-0.125865,721,1402.670425
-0.243195,721,1404.383146
0.526599,721,1409.266309
0.017196,721,1410.918501
0.145918,721,1414.972663
0.159566,721,1416.683648
0.59719,721,1418.489084
-0.272822,721,1423.06713
-0.257789,721,1424.770679
0.495428,721,1426.359129
0.125696,721,1430.39192
0.563833,721,1432.214413
-0.822083,721,1433.864477
0.48903,721,1438.462802
-0.032063,721,1440.246444
0.014232,721,1441.958463
-0.233151,721,1445.924575
0.068533,721,1447.464281
0.015494,721,1449.015542
-0.182457,721,1453.154102
-0.173525,721,1454.828692
-0.01795,721,1456.512332
-0.14519,721,1460.741799
0.007071,721,1462.450412
-0.845262,721,1466.692581
-0.203001,721,1468.267218
-0.340308,721,1469.83764
-0.06548,721,1474.138699
-0.123793,721,1475.752815
0.077249,721,1477.440949
0.276717,721,1481.579716
0.044084,721,1483.259223
-0.266671,721,1485.023065
-0.347263,721,1488.895143
-0.414396,721,1490.67984
-0.214356,721,1492.349914
-0.012915,721,1496.754812
-0.115025,721,1498.535025
0.14647,721,1500.165962
0.013727,721,1504.274036
0.182479,721,1506.123202
-1.392086,721,1509.920399
-0.00494,721,1518.304577
-0.479134,721,1519.891492
0.197759,721,1523.869651
-0.017901,721,1525.67223
0.204957,721,1527.477157
0.193395,721,1531.787089
-0.129373,721,1533.438114
-0.015541,721,1535.189054
0.00415,721,1539.324577
0.147701,721,1541.00423
-0.150274,721,1542.782515
-7.287919,721,1546.916331
0.145538,721,1548.647503
0.543988,721,1550.300694
0.028552,721,1554.257374
0.328628,721,1555.852597
0.184954,721,1559.698287
-0.303045,721,1561.355039
-0.041912,721,1562.931267
0.10185,721,1567.314914
-2.062768,721,1568.913429
-1.140215,721,1570.537943
0.284387,721,1574.475908
-0.244213,721,1576.108087
-0.035799,721,1577.725669
-3.276007,721,1581.630073
0.100953,721,1583.417734
-0.83707,721,1584.99362
-1.15487,721,1589.156832
0.235457,721,1590.938148
0.361555,721,1592.802314
-0.066188,721,1596.968998
-0.20635,721,1598.503676
-0.026316,721,1602.309208
0.100452,721,1603.988073
0.086638,721,1605.639524
0.223445,721,1609.831222
0.126814,721,1611.585365
0.221149,721,1613.280754
0.09286,721,1617.278753
-0.018575,721,1618.862704
-0.027471,721,1620.415672
-0.230412,721,1624.660024
0.221412,721,1626.342795
-0.236851,721,1628.000031
-0.195341,721,1632.059329
0.193312,721,1633.641322
-0.309735,721,1635.369903
-0.012097,721,1639.244514
-0.026209,721,1640.862829
-0.46917,721,1642.610632
-0.287506,721,1646.536299
-0.072765,721,1648.186322
0.347274,721,1652.368764
-0.222488,721,1654.111775
-0.21534,721,1655.762454
-1.150881,721,1659.971263
-0.098118,721,1661.616382
0.379729,721,1663.200425
0.261974,721,1667.668938
-0.272016,721,1669.36557
0.033226,721,1671.020973
0.589537,721,1674.975533
-0.348248,721,1676.609532
-0.341936,721,1678.152387
0.112452,721,1682.252696
-0.10338,721,1683.867733
-0.079593,721,1685.498397
-0.063009,721,1689.727236
0.052153,721,1691.289147
0.049193,721,1701.464752
-0.080152,721,1703.226281
-0.110502,721,1704.886983
-0.250568,721,1709.038468
-0.195762,721,1710.690882
-0.434918,721,1712.338317
0.146583,721,1716.236347
-0.024881,721,1717.842278
0.10051,721,1719.412397
-0.114072,721,1723.819296
0.453728,721,1725.461476
0.180753,721,1727.095513
-0.364109,721,1730.680519
0.099842,721,1732.271755
-0.000707,721,1733.916483
-0.10737,721,1737.789182
0.244992,721,1739.352169
-0.018509,721,1743.711488
-1.519627,721,1745.626498
-0.0085,721,1747.385866
-1.139292,721,1751.016273
0.319872,721,1752.620782
0.091743,721,1754.248174
-0.17939,721,1758.335783
0.290916,721,1759.942916
-0.728305,721,1761.525934
-0.229749,721,1765.928504
-0.038416,721,1767.572787
0.412585,721,1769.274542
0.293832,721,1773.609188
-5.597382,721,1775.53347
0.177715,721,1777.45045
-1.196107,721,1781.732818
0.347537,721,1783.658528
0.002083,721,1787.787853
0.365602,721,1789.528471
-1.893859,721,1791.14051
-1.516176,721,1795.464649
-15.034821,721,1797.131079
-3.615697,721,1798.882716
0.273127,721,1803.041578
-0.985045,721,1804.669344
0.138528,721,1806.36726
-6.033939,721,1810.262135
-5.083861,721,1811.888197
0.276953,721,1813.480594
0.13292,721,1817.648836
-3.330531,721,1819.525053
-2.877498,721,1821.451214
0.096588,721,1825.178238
0.232186,721,1826.768225
0.273356,721,1828.316687
-20.932712,721,1832.530935
-1.475181,721,1834.252699
-0.467047,721,1838.518473
-0.854376,721,1840.084184
-2.711673,721,1841.845667
-31.840072,721,1846.186216
-1.260872,721,1847.741987
-1.357923,721,1849.284034
-4.589244,721,1853.662691
-0.787297,721,1855.54699
-10.153005,721,1857.536298
-0.20308,721,1861.304059
-0.578345,721,1862.977289
-2.097158,721,1864.816699
-0.027327,721,1869.234304
-0.284221,721,1870.856319
-5.533785,721,1872.465806
-0.50151,721,1882.699081
0.467496,721,1884.283321
