trade_row_loc,trade_price,trade_amount,trade_total,trade_fee,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trade_trend_reward,trade_reward ,overall_reward ,trade_profit,trade_type,net_worth,benchmark,Balance,crypto_holding,crypto_worth,total_fees,total_volume_traded,highest_net_worth
387,11004.042119499652,0.0,0.0,0.0,True,0,10000,123.47788050034796,-10001.0,0.0,0.0,sell,10000.0,1992.6128986972453,10000.0,0.0,0.0,0.0,0.0,10000
388,11038.50372486946,0.0,0.0,0.0,True,0,10000,-18.50372486946071,-10001.0,0.0,0.0,sell,10000.0,2026.7189321133228,10000.0,0.0,0.0,0.0,0.0,10000
389,11081.038410435696,0.0,0.0,0.0,True,0,10000,-29.698410435696132,-10001.0,0.0,0.0,sell,10000.0,2080.76186827932,10000.0,0.0,0.0,0.0,0.0,10000
390,11088.041937423368,0.0,0.0,0.0,True,0,10000,12.958062576632074,-10001.0,0.0,0.0,sell,10000.0,2080.1633258932707,10000.0,0.0,0.0,0.0,0.0,10000
391,11073.838167581416,0.0,0.0,0.0,True,0,10000,26.611832418584527,-10001.0,0.0,0.0,sell,10000.0,2067.0933366996815,10000.0,0.0,0.0,0.0,0.0,10000
392,11082.926589321078,0.0,0.0,0.0,True,0,10000,5.51341067892281,-10001.0,0.0,0.0,sell,10000.0,2081.8936575184,10000.0,0.0,0.0,0.0,0.0,10000
393,11144.389410212609,0.0,0.0,0.0,True,0,10000,-42.349410212607836,-10001.0,0.0,0.0,sell,10000.0,2147.156542775647,10000.0,0.0,0.0,0.0,0.0,10000
394,11250.962011584243,0.0,0.0,0.0,True,0,10000,-88.95201158424243,-10001.0,0.0,0.0,sell,10000.0,2264.231433487248,10000.0,0.0,0.0,0.0,0.0,10000
395,11151.235555543268,0.0,0.0,0.0,True,0,10000,118.35444445673238,-10001.0,0.0,0.0,sell,10000.0,2154.5784683626807,10000.0,0.0,0.0,0.0,0.0,10000
396,11189.373057554802,0.0,0.0,0.0,True,0,10000,-20.543057554801635,-10001.0,0.0,0.0,sell,10000.0,2195.399059091369,10000.0,0.0,0.0,0.0,0.0,10000
397,11190.444998328565,0.0,0.0,0.0,True,0,10000,15.895001671435239,-10001.0,0.0,0.0,sell,10000.0,2193.494606044842,10000.0,0.0,0.0,0.0,0.0,10000
398,11193.174593941152,0.0,0.0,0.0,True,0,10000,11.41540605884802,-10001.0,0.0,0.0,sell,10000.0,2197.836758990923,10000.0,0.0,0.0,0.0,0.0,10000
399,11272.754199893037,0.0,0.0,0.0,True,0,10000,-64.17419989303744,-10001.0,0.0,0.0,sell,10000.0,2284.581874612988,10000.0,0.0,0.0,0.0,0.0,10000
400,11227.614266645347,0.0,0.0,0.0,True,0,10000,60.67573335465386,-10001.0,0.0,0.0,sell,10000.0,2235.7081681447016,10000.0,0.0,0.0,0.0,0.0,10000
401,11088.843080281144,0.0,0.0,0.0,True,0,10000,154.53691971885564,-10001.0,0.0,0.0,sell,10000.0,2080.250386603968,10000.0,0.0,0.0,0.0,0.0,10000
402,11095.395052877388,0.0,0.0,0.0,True,0,10000,5.1349471226130845,-10001.0,0.0,0.0,sell,10000.0,2096.12808371758,10000.0,0.0,0.0,0.0,0.0,10000
403,11030.75274999263,0.0,0.0,0.0,True,0,10000,84.3672500073717,-10001.0,0.0,0.0,sell,10000.0,2022.812082720733,10000.0,0.0,0.0,0.0,0.0,10000
404,10957.376145894717,0.0,0.0,0.0,True,0,10000,90.37385410528259,-10001.0,0.0,0.0,sell,10000.0,1945.9157099964195,10000.0,0.0,0.0,0.0,0.0,10000
405,10964.248741325484,0.0,0.0,0.0,True,0,10000,12.841258674516212,-10001.0,0.0,0.0,sell,10000.0,1952.956744974148,10000.0,0.0,0.0,0.0,0.0,10000
